table with row headers in column B and column headers in rows 3 through 4;;;;;;;;;;;;;
Annual Estimates of the Resident Population for Incorporated Places of 50,000 or More, Ranked by July 1, 2019 Population: April 1, 2010 to July 1, 2019;;;;;;;;;;;;;
Rank;Geographic Area;avril 1, 2010;;Population Estimate (as of July 1);;;;;;;;;
224;Wilmington city, North Carolina;106476;106456;106754;108141;109658;111686;113320;115050;118770;120836;122616;123744
225;Abilene city, Texas;117063;117514;117805;118762;119853;119797;120648;121707;121883;122186;122775;123420
226;Odessa city, Texas;99940;99876;99817;102009;105908;110158;114430;118421;117159;116418;120037;123334
227;Columbia city, Missouri;108500;109044;109429;111514;113553;115440;117028;118570;120248;121539;122533;123195
228;Pearland city, Texas;91252;93117;94063;96271;99283;102832;106027;111267;115926;119312;121424;122460
229;Victorville city, California;115903;115899;116278;117891;119831;120697;121087;121442;121725;121988;121952;122385
230;Hartford city, Connecticut;124775;124765;125354;125434;125266;125128;124665;124311;123654;122888;122556;122105
231;Vallejo city, California;115942;115914;116137;116709;117599;118550;119602;120477;120949;121546;121677;121692
232;Allentown city, Pennsylvania;118032;118095;118113;118782;118878;118826;119167;120071;120420;121047;121537;121442
233;Berkeley city, California;112580;112513;112889;113968;115309;116944;118697;120749;121547;122164;121663;121363
234;Richardson city, Texas;99223;99251;99581;101660;103695;105166;109134;110883;113910;116237;119878;121323
235;Arvada city, Colorado;106433;106760;106917;108084;110229;111872;113692;115406;117710;118950;120421;121272
236;Ann Arbor city, Michigan;113934;113988;114173;115539;116079;116820;118716;119884;120919;121493;121429;119980
237;Rochester city, Minnesota;106769;106823;107047;108097;108916;110427;111198;112160;114051;115586;117047;118935
238;Cambridge city, Massachusetts;105162;105148;105008;105884;107886;112036;112993;113471;115685;116869;118151;118927
239;Sugar Land city, Texas;78817;107835;108403;109854;111277;113490;116807;118405;118784;118967;118777;118488
240;Lansing city, Michigan;114297;114265;114321;114559;114661;114734;115093;115324;116569;117730;117931;118210
241;Evansville city, Indiana;117429;120069;120091;120216;120266;120295;120153;119487;119004;118331;118060;117979
242;College Station city, Texas;93857;94225;94666;95671;97761;100601;103469;108952;111068;114483;116035;117911
243;Fairfield city, California;105321;105467;105598;106245;107497;109137;110727;112365;114456;115817;116678;117133
244;Clearwater city, Florida;107685;109139;109052;109204;109538;110279;111167;112939;114175;115482;116324;116946
245;Beaumont city, Texas;118296;117278;117378;117908;117033;118068;117812;118603;118734;118953;117667;116825
246;Independence city, Missouri;116830;116812;116891;116917;117318;117281;117505;117260;117268;117197;117017;116672
247;Provo city, Utah;112488;112487;112923;115191;115559;116119;115378;114596;116627;117583;116630;116618
248;West Jordan city, Utah;103712;103601;104023;106349;108086;109735;110416;111293;113325;113945;115610;116480
249;Murrieta city, California;103466;103731;104229;105370;106509;107361;108037;109372;111492;112995;114715;116223
250;Palm Bay city, Florida;103190;104006;104138;104131;104819;105329;106237;108160;110289;112217;113854;115552
251;El Monte city, California;113475;113531;113677;114101;114843;115414;115627;115824;115550;115514;115308;115487
252;Carlsbad city, California;105328;105328;105674;107460;108948;110665;111609;112662;113265;114477;115518;115382
252;North Charleston city, South Carolina;97471;97579;97949;99898;101994;104050;106754;108597;109738;110820;113077;115382
254;Temecula city, California;100097;100013;100703;102640;104295;106073;108671;111140;112402;113987;114614;114761
255;Clovis city, California;95631;95980;96386;97557;98588;99631;101904;103828;106353;109316;111824;114584
256;Springfield city, Illinois;116250;116996;117138;117786;117928;117633;117489;117221;116536;115771;114840;114230
257;Meridian city, Idaho;75092;76986;77428;79723;82125;85086;89174;92144;96227;100539;106464;114161
258;Westminster city, Colorado;106114;106135;106434;107739;109083;110422;111517;112420;112984;112961;113227;113166
259;Costa Mesa city, California;109960;110078;110221;111151;111790;112244;112485;112808;112933;113665;113302;113003
260;High Point city, North Carolina;104371;104526;104710;105823;106567;107573;108797;110232;111533;111746;112073;112791
261;Manchester city, New Hampshire;109565;109549;109613;110281;110888;111008;111198;111275;111903;112235;112492;112673
